step,loss,forget_loss,reg_loss
1,4.566122055053711,2.7799506187438965,1.1907811164855957
2,4.614921569824219,2.8062145709991455,1.2058048248291016
3,4.462979316711426,2.801363468170166,1.1077439785003662
4,4.337736129760742,2.672700881958008,1.1100234985351562
5,3.933375358581543,2.7214105129241943,0.8079766035079956
6,4.642230987548828,2.7327890396118164,1.2729614973068237
7,4.021516799926758,2.648024320602417,0.9156615138053894
8,4.668813705444336,2.6590518951416016,1.339841365814209
9,4.47475528717041,2.7572340965270996,1.1450142860412598
10,3.853301763534546,2.601797580718994,0.8343361616134644
11,3.7108373641967773,2.5140573978424072,0.7978532314300537
12,4.2600531578063965,2.602172374725342,1.10525381565094
13,4.375739097595215,2.6185712814331055,1.171445369720459
14,3.963331460952759,2.468851089477539,0.9963202476501465
15,4.228458881378174,2.4410316944122314,1.1916180849075317
16,4.037749290466309,2.570221424102783,0.9783519506454468
17,4.458201885223389,2.455569267272949,1.3350884914398193
18,4.113258361816406,2.4526243209838867,1.1070892810821533
19,3.7635412216186523,2.3290090560913086,0.9563548564910889
20,4.811304569244385,2.341874122619629,1.646286964416504
21,4.0986199378967285,2.4180099964141846,1.1204066276550293
22,4.077493667602539,2.4239113330841064,1.1023883819580078
23,3.94492506980896,2.435605764389038,1.006212830543518
24,4.077993392944336,2.201369285583496,1.2510828971862793
25,4.253156661987305,2.3609445095062256,1.2614747285842896
26,3.337216854095459,2.1832809448242188,0.7692905068397522
27,3.7196478843688965,2.1886043548583984,1.020695686340332
28,3.9957938194274902,2.1765623092651367,1.2128210067749023
29,4.495678901672363,2.251020669937134,1.496438980102539
30,3.3729541301727295,2.0454165935516357,0.8850250244140625
31,3.6070172786712646,2.030627965927124,1.0509262084960938
32,3.5916500091552734,1.9578163623809814,1.0892224311828613
33,4.026182174682617,2.1280159950256348,1.265444278717041
34,3.7263126373291016,1.8645682334899902,1.2411630153656006
35,3.599616289138794,2.0410590171813965,1.0390381813049316
36,4.136305809020996,2.1920571327209473,1.2961657047271729
37,3.0896048545837402,1.73881196975708,0.9005285501480103
38,3.0052192211151123,1.7961997985839844,0.8060129880905151
39,3.9339864253997803,1.7046191692352295,1.4862449169158936
40,2.765125274658203,1.7191296815872192,0.6973303556442261
41,2.476471185684204,1.2886769771575928,0.7918627858161926
42,3.8880515098571777,1.6309856176376343,1.5047104358673096
43,3.512775421142578,1.7165998220443726,1.1974503993988037
44,3.8309106826782227,1.8579272031784058,1.3153223991394043
45,3.5285472869873047,1.7010736465454102,1.218315839767456
46,3.332639455795288,1.6326210498809814,1.133345603942871
47,3.069443702697754,1.3742047548294067,1.1301593780517578
48,3.779754638671875,1.5740855932235718,1.4704461097717285
49,3.1184418201446533,1.672568917274475,0.9639152884483337
50,3.1669604778289795,1.2603797912597656,1.2710537910461426
51,2.962325096130371,1.4393671751022339,1.0153051614761353
52,3.143819808959961,1.2356128692626953,1.2721378803253174
53,2.789320468902588,1.2538790702819824,1.023627519607544
54,3.8980953693389893,1.5498740673065186,1.5654809474945068
55,2.8763530254364014,1.3041281700134277,1.0481499433517456
56,3.2919347286224365,1.393782138824463,1.2654350996017456
57,2.713930130004883,1.269254446029663,0.9631171822547913
58,3.3245439529418945,1.1058692932128906,1.479116439819336
59,2.8180079460144043,1.2547473907470703,1.0421736240386963
60,2.351912498474121,1.3645094633102417,0.6582687497138977
61,2.774235486984253,1.3481072187423706,0.9507521986961365
62,3.072383403778076,1.2060023546218872,1.2442541122436523
63,2.732177972793579,1.1914423704147339,1.0271570682525635
64,3.1967055797576904,0.9710518717765808,1.4837690591812134
65,3.1317195892333984,1.1982507705688477,1.2889792919158936
66,3.3667502403259277,0.9762875437736511,1.593641757965088
67,2.092139482498169,1.2129021883010864,0.5861581563949585
68,2.340284824371338,1.018267273902893,0.8813449144363403
69,2.1784772872924805,1.0460727214813232,0.7549364566802979
70,2.5063538551330566,0.9082976579666138,1.0653709173202515
71,2.842787027359009,0.6452366709709167,1.4650335311889648
72,2.112842321395874,0.8369312286376953,0.8506073951721191
73,2.62603759765625,0.5832509994506836,1.3618577718734741
74,2.356971263885498,0.6301361918449402,1.1512233018875122
75,2.599684476852417,0.5298645496368408,1.3798799514770508
76,2.2012276649475098,0.783652126789093,0.9450503587722778
77,2.2111432552337646,0.6676989793777466,1.0289628505706787
78,2.384158134460449,0.5458567142486572,1.2255343198776245
79,2.529024839401245,0.3150016963481903,1.476015329360962
80,2.5196428298950195,0.8470855951309204,1.1150381565093994
81,1.9853712320327759,0.61515212059021,0.9134793877601624
82,2.7644600868225098,0.8032618761062622,1.3074655532836914
83,2.241713047027588,0.7519543766975403,0.9931724071502686
84,1.9947617053985596,0.48948073387145996,1.0035206079483032
85,1.718973159790039,0.494005024433136,0.8166455030441284
86,2.5207910537719727,0.5225963592529297,1.3321298360824585
87,2.139557361602783,0.385933518409729,1.1690826416015625
88,1.7477270364761353,0.3994392156600952,0.8988585472106934
89,1.5793592929840088,0.2641816735267639,0.876785159111023
90,2.321396827697754,0.29498523473739624,1.3509410619735718
91,1.9567738771438599,0.20821073651313782,1.1657087802886963
92,1.605128288269043,0.3816371262073517,0.815660834312439
93,2.189342498779297,0.4973534345626831,1.1279927492141724
94,1.8417474031448364,0.3614386022090912,0.9868724942207336
95,2.1527819633483887,0.5045419931411743,1.0988266468048096
96,1.9032061100006104,0.3100879192352295,1.062078833580017
97,1.7607669830322266,0.2078263759613037,1.035293698310852
98,2.9767613410949707,0.41788917779922485,1.7059147357940674
99,2.06471586227417,0.5390058755874634,1.0171399116516113
100,1.6281081438064575,0.21933183073997498,0.9391841888427734
